datetime,conditions,quarter
2007-03-21,"Rain, Partially cloudy",1
2007-03-22,Clear,1
2007-03-23,Clear,1
2007-03-24,Partially cloudy,1
2007-03-25,Partially cloudy,1
2007-03-26,Overcast,1
2007-03-27,"Rain, Partially cloudy",1
2007-03-28,Clear,1
2007-03-29,Clear,1
2007-03-30,Clear,1
2007-03-31,Clear,1
2008-01-01,Clear,1
2008-01-02,Clear,1
2008-01-03,Clear,1
2008-01-04,"Rain, Overcast",1
2008-01-05,"Rain, Overcast",1
2008-01-06,"Rain, Overcast",1
2008-01-07,"Rain, Partially cloudy",1
2008-01-08,Clear,1
2008-01-09,Partially cloudy,1
2008-01-10,Clear,1
2008-01-11,Clear,1
2008-01-12,Rain,1
2008-01-13,Clear,1
2008-01-14,Clear,1
2008-01-15,Clear,1
2008-01-16,"Rain, Partially cloudy",1
2008-01-17,Clear,1
2008-01-18,Clear,1
2008-01-19,Clear,1
2008-01-20,Partially cloudy,1
2008-01-21,"Rain, Partially cloudy",1
2008-01-22,"Rain, Overcast",1
2008-01-23,"Rain, Overcast",1
2008-01-24,"Rain, Partially cloudy",1
2008-01-25,"Rain, Partially cloudy",1
2008-01-26,"Rain, Partially cloudy",1
2008-01-27,"Rain, Overcast",1
2008-01-28,"Rain, Partially cloudy",1
2008-01-29,Partially cloudy,1
2008-01-30,Clear,1
2008-01-31,Clear,1
2008-02-01,Partially cloudy,1
2008-02-02,Partially cloudy,1
2008-02-03,"Rain, Partially cloudy",1
2008-02-04,Clear,1
2008-02-05,Clear,1
2008-02-06,Clear,1
2008-02-07,Clear,1
2008-02-08,Clear,1
2008-02-09,Clear,1
2008-02-10,Clear,1
2008-02-11,Clear,1
2008-02-12,Clear,1
2008-02-13,Partially cloudy,1
2008-02-14,"Rain, Partially cloudy",1
2008-02-15,Clear,1
2008-02-16,Clear,1
2008-02-17,Partially cloudy,1
2008-02-18,Partially cloudy,1
2008-02-19,Overcast,1
2008-02-20,"Rain, Partially cloudy",1
2008-02-21,"Rain, Partially cloudy",1
2008-02-22,"Rain, Partially cloudy",1
2008-02-23,"Rain, Partially cloudy",1
2008-02-24,"Rain, Partially cloudy",1
2008-02-25,Clear,1
2008-02-26,Rain,1
2008-02-27,Clear,1
2008-02-28,Partially cloudy,1
2008-02-29,Partially cloudy,1
2008-03-01,Partially cloudy,1
2008-03-02,Clear,1
2008-03-03,Clear,1
2008-03-04,Clear,1
2008-03-05,Partially cloudy,1
2008-03-06,Clear,1
2008-03-07,Clear,1
2008-03-08,Clear,1
2008-03-09,Clear,1
2008-03-10,Clear,1
2008-03-11,Clear,1
2008-03-12,Clear,1
2008-03-13,Clear,1
2008-03-14,Partially cloudy,1
2008-03-15,"Rain, Partially cloudy",1
2008-03-16,Partially cloudy,1
2008-03-17,Clear,1
2008-03-18,Clear,1
2008-03-19,Partially cloudy,1
2008-03-20,"Rain, Partially cloudy",1
2008-03-21,Rain,1
2008-03-22,Clear,1
2008-03-23,Clear,1
2008-03-24,Clear,1
2008-03-25,Partially cloudy,1
2008-03-26,Partially cloudy,1
2008-03-27,Clear,1
2008-03-28,Clear,1
2008-03-29,Partially cloudy,1
2008-03-30,"Rain, Partially cloudy",1
2008-03-31,Clear,1
2009-01-01,Partially cloudy,1
2009-01-02,Partially cloudy,1
2009-01-03,"Rain, Partially cloudy",1
2009-01-04,Clear,1
2009-01-05,Clear,1
2009-01-06,Clear,1
2009-01-07,Clear,1
2009-01-08,"Rain, Partially cloudy",1
2009-01-09,Partially cloudy,1
2009-01-10,Clear,1
2009-01-11,Clear,1
2009-01-12,Clear,1
2009-01-13,Clear,1
2009-01-14,Clear,1
2009-01-15,Clear,1
2009-01-16,Clear,1
2009-01-17,Clear,1
2009-01-18,Clear,1
2009-01-19,Clear,1
2009-01-20,Clear,1
2009-01-21,Partially cloudy,1
2009-01-22,"Rain, Overcast",1
2009-01-23,"Rain, Overcast",1
2009-01-24,"Rain, Partially cloudy",1
2009-01-25,"Rain, Partially cloudy",1
2009-01-26,Clear,1
2009-01-27,Clear,1
2009-01-28,Clear,1
2009-01-29,Clear,1
2009-01-30,Clear,1
2009-01-31,Clear,1
2009-02-01,Clear,1
2009-02-02,Clear,1
