datetime,conditions,quarter
2002-06-28,Partially cloudy,2
2002-06-29,Partially cloudy,2
2002-06-30,Partially cloudy,2
2003-04-01,Partially cloudy,2
2003-04-02,"Rain, Partially cloudy",2
2003-04-03,Clear,2
2003-04-04,Clear,2
2003-04-05,Clear,2
2003-04-06,Clear,2
2003-04-07,Clear,2
2003-04-08,Clear,2
2003-04-09,Clear,2
2003-04-10,Partially cloudy,2
2003-04-11,Partially cloudy,2
2003-04-12,"Rain, Partially cloudy",2
2003-04-13,"Rain, Partially cloudy",2
2003-04-14,"Rain, Partially cloudy",2
2003-04-15,Partially cloudy,2
2003-04-16,Clear,2
2003-04-17,Partially cloudy,2
2003-04-18,Partially cloudy,2
2003-04-19,Clear,2
2003-04-20,Partially cloudy,2
2003-04-21,Partially cloudy,2
2003-04-22,Partially cloudy,2
2003-04-23,Partially cloudy,2
2003-04-24,Clear,2
2003-04-25,"Rain, Partially cloudy",2
2003-04-26,Clear,2
2003-04-27,Clear,2
2003-04-28,Partially cloudy,2
2003-04-29,Clear,2
2003-04-30,Clear,2
2003-05-01,Partially cloudy,2
2003-05-02,"Rain, Partially cloudy",2
2003-05-03,"Rain, Partially cloudy",2
2003-05-04,"Rain, Partially cloudy",2
2003-05-05,Clear,2
2003-05-06,Partially cloudy,2
2003-05-07,"Rain, Partially cloudy",2
2003-05-08,Partially cloudy,2
2003-05-09,Clear,2
2003-05-10,Clear,2
2003-05-11,Clear,2
2003-05-12,Partially cloudy,2
2003-05-13,Partially cloudy,2
2003-05-14,Partially cloudy,2
2003-05-15,Clear,2
2003-05-16,Clear,2
2003-05-17,Partially cloudy,2
2003-05-18,Partially cloudy,2
2003-05-19,Partially cloudy,2
2003-05-20,Clear,2
2003-05-21,Clear,2
2003-05-22,Partially cloudy,2
2003-05-23,Partially cloudy,2
2003-05-24,Partially cloudy,2
2003-05-25,Partially cloudy,2
2003-05-26,Partially cloudy,2
2003-05-27,Clear,2
2003-05-28,Clear,2
2003-05-29,Partially cloudy,2
2003-05-30,Partially cloudy,2
2003-05-31,Partially cloudy,2
2003-06-01,Partially cloudy,2
2003-06-02,Partially cloudy,2
2003-06-03,Partially cloudy,2
2003-06-04,Partially cloudy,2
2003-06-05,Partially cloudy,2
2003-06-06,"Rain, Partially cloudy",2
2003-06-07,Partially cloudy,2
2003-06-08,Partially cloudy,2
2003-06-09,Partially cloudy,2
2003-06-10,"Rain, Partially cloudy",2
2003-06-11,Partially cloudy,2
2003-06-12,Partially cloudy,2
2003-06-13,Partially cloudy,2
2003-06-14,Clear,2
2003-06-15,Partially cloudy,2
2003-06-16,Partially cloudy,2
2003-06-17,Partially cloudy,2
2003-06-18,Partially cloudy,2
2003-06-19,Partially cloudy,2
2003-06-20,"Rain, Partially cloudy",2
2003-06-21,"Rain, Partially cloudy",2
2003-06-22,Partially cloudy,2
2003-06-23,Partially cloudy,2
2003-06-24,Partially cloudy,2
2003-06-25,Clear,2
2003-06-26,Clear,2
2003-06-27,Partially cloudy,2
2003-06-28,Partially cloudy,2
2003-06-29,Partially cloudy,2
2003-06-30,Partially cloudy,2
2004-04-01,"Rain, Partially cloudy",2
2004-04-02,Partially cloudy,2
2004-04-03,Overcast,2
2004-04-04,Partially cloudy,2
2004-04-05,Partially cloudy,2
2004-04-06,Partially cloudy,2
2004-04-07,Partially cloudy,2
2004-04-08,Partially cloudy,2
2004-04-09,Partially cloudy,2
2004-04-10,Partially cloudy,2
2004-04-11,Partially cloudy,2
2004-04-12,Partially cloudy,2
2004-04-13,Partially cloudy,2
2004-04-14,Clear,2
2004-04-15,Clear,2
2004-04-16,Partially cloudy,2
2004-04-17,"Rain, Partially cloudy",2
2004-04-18,Partially cloudy,2
2004-04-19,Partially cloudy,2
2004-04-20,Clear,2
2004-04-21,Partially cloudy,2
2004-04-22,Partially cloudy,2
2004-04-23,Clear,2
2004-04-24,Clear,2
2004-04-25,Clear,2
2004-04-26,Clear,2
2004-04-27,Clear,2
2004-04-28,Partially cloudy,2
2004-04-29,Partially cloudy,2
2004-04-30,Clear,2
2004-05-01,Clear,2
2004-05-02,Clear,2
2004-05-03,Clear,2
2004-05-04,Clear,2
2004-05-05,Clear,2
2004-05-06,Partially cloudy,2
2004-05-07,Partially cloudy,2
2004-05-08,Clear,2
2004-05-09,Clear,2
2004-05-10,Partially cloudy,2
2004-05-11,Clear,2
