datetime,conditions,quarter
2003-12-28,Clear,4
2003-12-29,Partially cloudy,4
2003-12-30,Partially cloudy,4
2003-12-31,Clear,4
2004-10-01,Partially cloudy,4
2004-10-02,Clear,4
2004-10-03,Partially cloudy,4
2004-10-04,Clear,4
2004-10-05,Partially cloudy,4
2004-10-06,Partially cloudy,4
2004-10-07,Partially cloudy,4
2004-10-08,Partially cloudy,4
2004-10-09,Partially cloudy,4
2004-10-10,Partially cloudy,4
2004-10-11,Clear,4
2004-10-12,Partially cloudy,4
2004-10-13,Partially cloudy,4
2004-10-14,Clear,4
2004-10-15,Partially cloudy,4
2004-10-16,"Rain, Partially cloudy",4
2004-10-17,"Rain, Overcast",4
2004-10-18,"Rain, Overcast",4
2004-10-19,"Rain, Overcast",4
2004-10-20,"Rain, Partially cloudy",4
2004-10-21,Partially cloudy,4
2004-10-22,Partially cloudy,4
2004-10-23,Clear,4
2004-10-24,Partially cloudy,4
2004-10-25,Partially cloudy,4
2004-10-26,"Rain, Partially cloudy",4
2004-10-27,"Rain, Partially cloudy",4
2004-10-28,"Rain, Partially cloudy",4
2004-10-29,Partially cloudy,4
2004-10-30,Clear,4
2004-10-31,Clear,4
2004-11-01,Clear,4
2004-11-02,Clear,4
2004-11-03,Partially cloudy,4
2004-11-04,Partially cloudy,4
2004-11-05,Partially cloudy,4
2004-11-06,Clear,4
2004-11-07,"Rain, Partially cloudy",4
2004-11-08,"Rain, Partially cloudy",4
2004-11-09,"Rain, Partially cloudy",4
2004-11-10,Clear,4
2004-11-11,Partially cloudy,4
2004-11-12,Clear,4
2004-11-13,"Rain, Partially cloudy",4
2004-11-14,Clear,4
2004-11-15,Clear,4
2004-11-16,Partially cloudy,4
2004-11-17,Clear,4
2004-11-18,Clear,4
2004-11-19,Partially cloudy,4
2004-11-20,"Rain, Partially cloudy",4
2004-11-21,"Rain, Partially cloudy",4
2004-11-22,Partially cloudy,4
2004-11-23,Partially cloudy,4
2004-11-24,Clear,4
2004-11-25,Clear,4
2004-11-26,Partially cloudy,4
2004-11-27,"Rain, Partially cloudy",4
2004-11-28,Clear,4
2004-11-29,Clear,4
2004-11-30,Clear,4
2004-12-01,Clear,4
2004-12-02,Clear,4
2004-12-03,Clear,4
2004-12-04,Partially cloudy,4
2004-12-05,"Rain, Partially cloudy",4
2004-12-06,"Rain, Partially cloudy",4
2004-12-07,"Rain, Partially cloudy",4
2004-12-08,"Rain, Partially cloudy",4
2004-12-09,Clear,4
2004-12-10,Clear,4
2004-12-11,Clear,4
2004-12-12,Partially cloudy,4
2004-12-13,Partially cloudy,4
2004-12-14,Clear,4
2004-12-15,Clear,4
2004-12-16,Clear,4
2004-12-17,Clear,4
2004-12-18,Clear,4
2004-12-19,Clear,4
2004-12-20,Clear,4
2004-12-21,Partially cloudy,4
2004-12-22,Partially cloudy,4
2004-12-23,Clear,4
2004-12-24,Clear,4
2004-12-25,Clear,4
2004-12-26,Partially cloudy,4
2004-12-27,"Rain, Overcast",4
2004-12-28,"Rain, Overcast",4
2004-12-29,"Rain, Partially cloudy",4
2004-12-30,Partially cloudy,4
2004-12-31,"Rain, Partially cloudy",4
2005-10-01,Partially cloudy,4
2005-10-02,Partially cloudy,4
2005-10-03,Clear,4
2005-10-04,Clear,4
2005-10-05,Clear,4
2005-10-06,Clear,4
2005-10-07,Clear,4
2005-10-08,Partially cloudy,4
2005-10-09,Clear,4
2005-10-10,Clear,4
2005-10-11,Partially cloudy,4
2005-10-12,Clear,4
2005-10-13,Rain,4
2005-10-14,Clear,4
2005-10-15,Partially cloudy,4
2005-10-16,"Rain, Partially cloudy",4
2005-10-17,"Rain, Partially cloudy",4
2005-10-18,"Rain, Partially cloudy",4
2005-10-19,Partially cloudy,4
2005-10-20,Rain,4
2005-10-21,Partially cloudy,4
2005-10-22,Overcast,4
2005-10-23,Partially cloudy,4
2005-10-24,"Rain, Overcast",4
2005-10-25,"Rain, Partially cloudy",4
2005-10-26,"Rain, Partially cloudy",4
2005-10-27,Partially cloudy,4
2005-10-28,Partially cloudy,4
2005-10-29,Clear,4
2005-10-30,Clear,4
2005-10-31,Clear,4
2005-11-01,Partially cloudy,4
2005-11-02,Partially cloudy,4
2005-11-03,Partially cloudy,4
2005-11-04,Clear,4
2005-11-05,Clear,4
2005-11-06,Partially cloudy,4
2005-11-07,Partially cloudy,4
2005-11-08,Partially cloudy,4
2005-11-09,"Rain, Overcast",4
2005-11-10,"Rain, Partially cloudy",4
2005-11-11,Partially cloudy,4
2005-11-12,Rain,4
2005-11-13,Rain,4
2005-11-14,"Rain, Partially cloudy",4
2005-11-15,Clear,4
2005-11-16,Clear,4
2005-11-17,Clear,4
2005-11-18,Clear,4
2005-11-19,Clear,4
2005-11-20,Clear,4
2005-11-21,Partially cloudy,4
2005-11-22,Partially cloudy,4
2005-11-23,Partially cloudy,4
2005-11-24,Partially cloudy,4
2005-11-25,"Rain, Partially cloudy",4
2005-11-26,Partially cloudy,4
2005-11-27,Clear,4
2005-11-28,Clear,4
2005-11-29,Partially cloudy,4
2005-11-30,Partially cloudy,4
2005-12-01,Partially cloudy,4
2005-12-02,"Rain, Overcast",4
2005-12-03,Clear,4
2005-12-04,Clear,4
2005-12-05,Clear,4
2005-12-06,Clear,4
2005-12-07,Partially cloudy,4
2005-12-08,Partially cloudy,4
2005-12-09,"Rain, Partially cloudy",4
2005-12-10,Partially cloudy,4
2005-12-11,Partially cloudy,4
2005-12-12,"Rain, Partially cloudy",4
2005-12-13,Partially cloudy,4
2005-12-14,Partially cloudy,4
2005-12-15,Partially cloudy,4
2005-12-16,Partially cloudy,4
2005-12-17,Partially cloudy,4
2005-12-18,Partially cloudy,4
2005-12-19,Partially cloudy,4
2005-12-20,Partially cloudy,4
2005-12-21,Partially cloudy,4
2005-12-22,Partially cloudy,4
2005-12-23,Partially cloudy,4
2005-12-24,"Rain, Partially cloudy",4
2005-12-25,Partially cloudy,4
2005-12-26,"Rain, Partially cloudy",4
2005-12-27,"Rain, Partially cloudy",4
2005-12-28,"Rain, Partially cloudy",4
2005-12-29,Partially cloudy,4
2005-12-30,Partially cloudy,4
2005-12-31,"Rain, Partially cloudy",4
2006-10-01,"Rain, Partially cloudy",4
2006-10-02,"Rain, Partially cloudy",4
2006-10-03,Clear,4
2006-10-04,Clear,4
2006-10-05,Clear,4
2006-10-06,Partially cloudy,4
2006-10-07,Partially cloudy,4
2006-10-08,Partially cloudy,4
2006-10-09,Partially cloudy,4
2006-10-10,Partially cloudy,4
2006-10-11,Clear,4
2006-10-12,Clear,4
2006-10-13,"Rain, Partially cloudy",4
2006-10-14,"Rain, Partially cloudy",4
2006-10-15,Overcast,4
2006-10-16,Partially cloudy,4
2006-10-17,Partially cloudy,4
2006-10-18,Clear,4
2006-10-19,Clear,4
2006-10-20,Clear,4
2006-10-21,Clear,4
2006-10-22,Rain,4
2006-10-23,Clear,4
2006-10-24,Partially cloudy,4
2006-10-25,Partially cloudy,4
2006-10-26,Clear,4
2006-10-27,Clear,4
2006-10-28,Clear,4
2006-10-29,Clear,4
2006-10-30,Partially cloudy,4
2006-10-31,Partially cloudy,4
2006-11-01,Clear,4
2006-11-02,Partially cloudy,4
2006-11-03,Partially cloudy,4
2006-11-04,Rain,4
2006-11-05,Clear,4
2006-11-06,Clear,4
2006-11-07,Clear,4
2006-11-08,Clear,4
2006-11-09,Clear,4
2006-11-10,Clear,4
2006-11-11,Partially cloudy,4
2006-11-12,Clear,4
2006-11-13,Clear,4
2006-11-14,Partially cloudy,4
2006-11-15,Clear,4
2006-11-16,Clear,4
2006-11-17,Clear,4
2006-11-18,Clear,4
2006-11-19,Rain,4
2006-11-20,Clear,4
2006-11-21,Partially cloudy,4
2006-11-22,Partially cloudy,4
2006-11-23,Clear,4
2006-11-24,Partially cloudy,4
2006-11-25,Partially cloudy,4
2006-11-26,Partially cloudy,4
2006-11-27,"Rain, Partially cloudy",4
2006-11-28,Clear,4
2006-11-29,Clear,4
2006-11-30,Clear,4
2006-12-01,Clear,4
2006-12-02,Clear,4
2006-12-03,Clear,4
2006-12-04,Clear,4
2006-12-05,Clear,4
2006-12-06,Rain,4
2006-12-07,Rain,4
